
101	37.505983	126.958003	101관
102	37.506483	126.958853	102관
103	37.505953	126.958953	103관
104	37.505805	126.958353	104관
105	37.505605	126.958833	105관
106	37.505055	126.958720	106관
107	37.506283	126.957333	107관
201	37.505203	126.957050	201관
202	37.505013	126.956840	202관
203	37.504713	126.956700	203관
204	37.504705	126.958000	도서관
207	37.503555	126.957803	207관
208	37.503513	126.957060	208관
301	37.505300	126.954383	301관
302	37.504685	126.954832	302관
303	37.504673	126.955820	303관
305	37.504185	126.955009	305관
308	37.502605	126.957053	308관
309	37.502555	126.956423	309관
310	37.503835	126.955869	310관
444	37.504987	126.953998	후문
555	37.506783	126.958403	정문
666	37.505205	126.958350	의혈탑
